Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YALI0E01254g,91.94549247,100.88684190000001,90.21359069,98.02208644,64.77261495,58.27395862,57.10924033,53.291507499999994,66.0211999
YALI0E01276g,49.36180854,52.23439684,42.81552375,39.57310826,29.79150735,39.81485434,35.35484822,29.85355543,34.27135259
YALI0E01298g,2043.798078,2080.429659,1225.214046,1245.1588470000002,2017.049345,2601.112174,2635.009668,2426.195963,2182.135215
YALI0E01320g,18.39599726,15.73761697,15.07808414,15.73393877,27.61762104,33.86663612,27.681940700000002,31.87700854,26.77092665
YALI0E01342r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E01364g,0.642875247,0.564143056,0.25814534,0.10449024800000001,1.458633826,0.688452538,1.3000133390000002,0.9028383529999999,0.7929895779999999
YALI0E01386g,6.135094925,6.309633296,8.713269001,7.282151162999999,4.053619943,5.4416052089999996,6.081032506000001,3.3859794880000003,4.353265856
YALI0E01408g,23.26344264,24.95072046,8.135581942,7.154572315,2.219431183,3.8163354610000004,4.043149624,3.123853301,2.23138131
SNR17_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E01430g,23.63179831,24.7051819,34.69207889,30.00623412,23.45174402,29.76169143,28.84370454,29.04869845,26.29684815
YALI0E01452g,6719.588476000001,5215.196471,3713.129164,4196.837299,5406.291851,5312.354915999999,3970.925759,7434.345118000001,4143.102997
YALI0E01474g,14.31779906,16.27990395,14.7551889,9.312154227,9.606287437999999,15.92662985,16.36090794,13.99539702,10.61790721
YALI0E01496g,183.1814686,182.9637779,159.49195869999997,137.9287414,204.0413462,199.96609009999997,194.05572,169.9001572,190.2263028
YALI0E01518g,397.8435012,355.47521869999997,442.9579598,443.46917249999996,412.0547055,395.97274489999995,406.3623931,384.6515796,379.6325956
YALI0E01540g,136.55991219999999,132.3231405,205.1648399,254.67995069999998,177.4926471,117.76570090000001,115.4640542,197.8198534,162.29827509999998
YALI0E01562g,19.47270904,19.43797782,89.87724501,160.2724107,78.68272215,45.63010024,35.96179193,67.97047303,45.58238720000001
YALI0E01584g,218.2410528,263.0202294,49.16084937,65.65894617,197.6559229,213.4517161,200.0614425,210.34011009999998,141.90055969999997
YALI0E01606g,22.41967262,27.33777978,26.16133532,24.34064013,30.37910449,36.44619876,39.73035417,24.57172301,31.90934936
YALI0E01628g,129.1299793,115.10589080000001,94.79079676,85.14199796,127.79949920000001,155.2031567,147.1490572,114.0489483,128.4911601
YALI0E01650g,16.4438774,13.90455196,15.12053868,12.15026503,41.08692526,42.09552728,39.469727899999995,46.13788768,40.73277744
YALI0E01672g,60.86049004,65.78058782,49.19334604,43.61384734,51.64561859,55.59889174,62.42974036,49.19291543,52.09291355
YALI0E01694g,80.78665581,82.48081964,65.47511248,66.35130764,60.60042735,64.05533788,59.93187763,74.74528548,64.37145169
YALI0E01716r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E01738g,23.30837529,26.82766067,17.35186974,15.83869924,15.08678152,18.37983209,16.10216484,15.02321581,16.39819617
