Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0F19426g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0C00407g,case_overexpressed,,0.0,0.0,3.040391144120668e-43,lightblue,circle,30,2
YALI0C00495g,changed_regulation,,0.003667481662591687,0.0005092158258257518,1.8696762522391413e-11,green,circle,30,2
YALI0D18403g,control_overexpressed,,0.003667481662591687,0.0001169629547879587,2.5251092169076025e-11,orange,circle,30,2
YALI0C10516g,control_overexpressed,,0.0006112469437652812,0.0,1.4054231413880384e-11,orange,circle,30,2
YALI0D18854g,control_overexpressed,,0.0,0.0,3.040391144120668e-43,orange,circle,30,2
YALI0C01045g,control_overexpressed,,0.0012224938875305623,0.0010108940280986669,6.566633249645617e-15,orange,circle,30,2
YALI0D09086g,control_overexpressed,,0.0024449877750611247,0.004037594490926628,1.0359649346019265e-13,orange,circle,30,2
YALI0F01056g,control_overexpressed,,0.0006112469437652812,0.0,4.301660393328061e-16,orange,circle,30,2
YALI0C01133g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0E24915g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0C11341g,case_upregulated,,0.004278728606356968,0.009579659295612893,9.747501547099724e-08,darkblue,circle,30,2
YALI0F04213g,case_overexpressed,,0.0024449877750611247,0.0005760742767841815,7.278175520271474e-08,lightblue,circle,30,2
YALI0F26719g,changed_regulation,,0.0012224938875305623,7.477026835049311e-06,6.928229432331451e-30,green,circle,30,2
YALI0C17589g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0D06435g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0C02607g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0F19470g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0C13420g,changed_regulation,,0.004889975550122249,0.004529238432684792,2.787425755904479e-12,green,circle,30,2
YALI0D01573g,changed_regulation,Transcription_Factor,0.003056234718826406,8.853576332010403e-05,3.691612759319565e-12,green,roundrectangle,80,15
YALI0D05041g,changed_regulation,Transcription_Factor,0.003056234718826406,0.0020233663777998808,4.307125049939301e-13,green,roundrectangle,80,15
YALI0C02717g,control_upregulated,,0.0,0.0,3.040391144120668e-43,red,circle,30,2
YALI0C02805g,changed_regulation,,0.0006112469437652812,0.0,2.2458951525201285e-09,green,circle,30,2
YALI0E00220g,control_overexpressed,,0.0018337408312958435,0.0,9.78816400768153e-06,orange,circle,30,2
YALI0C02893g,control_overexpressed,,0.0012224938875305623,0.0,4.611847642745132e-08,orange,circle,30,2
YALI0E16478g,changed_regulation,,0.0012224938875305623,1.9167576018827025e-05,9.89206872963171e-07,green,circle,30,2
YALI0C08965g,case_overexpressed,,0.0024449877750611247,0.005039516086823236,1.594289519687614e-10,lightblue,circle,30,2
YALI0D15664g,case_overexpressed,,0.007946210268948655,2.7184919310596197e-05,5.975506549404137e-10,lightblue,circle,30,2
YALI0D24101g,case_overexpressed,,0.007334963325183374,0.002321341001460331,4.698455636287644e-10,lightblue,circle,30,2
YALI0E03938g,case_overexpressed,,0.008557457212713936,0.00037558805727094823,6.333667892186232e-10,lightblue,circle,30,2
YALI0E05819g,case_overexpressed,,0.009779951100244499,0.00796127880224058,6.6545912164028e-10,lightblue,circle,30,2
YALI0F18964g,case_overexpressed,,0.003667481662591687,1.0510808664036273e-05,2.1970700842197814e-10,lightblue,circle,30,2
YALI0F20174g,case_overexpressed,,0.009168704156479218,8.844166807670548e-05,6.399441922558796e-10,lightblue,circle,30,2
YALI0F30437g,case_overexpressed,,0.009779951100244499,0.000466829635684099,7.097163425711065e-10,lightblue,circle,30,2
YALI0C20669g,case_overexpressed,,0.0,0.0,3.040391144120668e-43,lightblue,circle,30,2
YALI0C03223g,case_overexpressed,,0.0,0.0,3.040391144120668e-43,lightblue,circle,30,2
YALI0F23221g,case_overexpressed,,0.0012224938875305623,1.4954053670098622e-06,4.706552112520421e-31,lightblue,circle,30,2
YALI0C03465g,changed_regulation,,0.0012224938875305623,0.0025711885817523024,4.998199170312711e-13,green,circle,30,2
YALI0E20779g,changed_regulation,,0.0006112469437652812,0.0,2.4476597216552164e-14,green,circle,30,2
YALI0E28259g,changed_regulation,,0.003056234718826406,0.0030622013914081594,5.554166167533377e-12,green,circle,30,2
YALI0F27511g,control_overexpressed,,0.0018337408312958435,0.0,5.375791798924066e-11,orange,circle,30,2
YALI0C03718g,control_upregulated,,0.0006112469437652812,0.0,2.5210530325619553e-06,red,circle,30,2
YALI0C03762g,changed_regulation,,0.0012224938875305623,4.486216101029587e-06,5.142374735289783e-30,green,circle,30,2
YALI0D01265g,changed_regulation,,0.0006112469437652812,0.0,2.7362259045242876e-30,green,circle,30,2
YALI0C03784g,changed_regulation,,0.0024449877750611247,3.050749286178733e-05,0.0033549439655920017,green,circle,30,2
YALI0F05104g,control_upregulated,Transcription_Factor,0.0018337408312958435,2.49234227834977e-07,0.0007954333869115735,red,roundrectangle,80,15
YALI0E04136g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0E25025g,changed_regulation,,0.0006112469437652812,0.0,6.083668759252933e-08,green,circle,30,2
YALI0E24277g,control_overexpressed,Transcription_Factor,0.003056234718826406,0.004038342193610133,4.075327938318998e-12,orange,roundrectangle,80,15
YALI0F11341g,control_overexpressed,,0.004278728606356968,0.004361959931074444,9.425671878345917e-11,orange,circle,30,2
YALI0F16599g,control_overexpressed,Transcription_Factor,0.0018337408312958435,0.0001856751872120833,2.928836703216257e-11,orange,roundrectangle,80,15
YALI0C04257g,control_upregulated,,0.0006112469437652812,0.0,1.6322975663807864e-34,red,circle,30,2
YALI0C15323g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0C04345g,changed_regulation,,0.0012224938875305623,0.0,0.0017537305436296996,green,circle,30,2
YALI0F25619g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0C04411g,case_overexpressed,,0.0006112469437652812,0.0,3.604285778236797e-11,lightblue,circle,30,2
YALI0F07711g,case_overexpressed,,0.0024449877750611247,0.004040304913154334,6.921731238821664e-10,lightblue,circle,30,2
YALI0C05038g,control_overexpressed,,0.003056234718826406,0.0009459658322943365,3.593464526818157e-07,orange,circle,30,2
YALI0E03828g,changed_regulation,,0.0012224938875305623,3.5813226410117464e-06,0.0002625595735673524,green,circle,30,2
YALI0F01452g,case_upregulated,,0.0,0.0,3.040391144120668e-43,darkblue,circle,30,2
YALI0C05324g,changed_regulation,,0.0006112469437652812,0.0,4.6390316168208094e-12,green,circle,30,2
YALI0F03971g,control_overexpressed,,0.0006112469437652812,0.0,6.361577934542268e-10,orange,circle,30,2
